Unnamed: 0,department,search_term,sfr,asin,clicked_item,click_share_rank,click_share,conversion_share
305,HPC,protein powder,3,B099HZG89P,"Dymatize ISO100 Hydrolyzed Protein Powder, 100% Whey Isolate Protein, 25g of Protein, 5.5g BCAAs, Gluten Free, Fast Absorbing, Easy Digesting, Fruity Pebbles, 20 Servings",3,0.0623,0.0504
306,Electronics,headphones,3,B00NJ2M33I,"Sony ZX Series Wired On-Ear Headphones, Black MDR-ZX110",1,0.1086,0.19
307,Electronics,headphones,3,B07HH1QSLB,"Amazon Basics In-Ear Wired Headphones, Earbuds with Microphone, Black",2,0.0316,0.0493
308,Electronics,headphones,3,B094NC89P9,"RORSOU R10 On-Ear Headphones with Microphone, Lightweight Folding Stereo Bass Headphones with 1.5M No-Tangle Cord, Portable Wired Headphones for Smartphone Tablet Computer MP3 / 4 (Black)",3,0.0272,0.0451
309,Beauty,eyebrow stamp stencil kit,3,B0B5L17Z4Z,"Eyebrow Stamp Stencil Kit, Long Lasting Waterproof Brow Definer Powder Stamp, Eyebrow Tattoo Stencils with Trimmer and Brush…",1,0.3903,0
310,Beauty,eyebrow stamp stencil kit,3,B09PVG2T29,"TRIIR Eyebrow Stamp Stencil Kit, Eyebrow Definer with Brush & Trimmer, Waterproof Perfect Eyebrow Tattoo Stencils(Dark Brown), EYEbrow-1AS",2,0.334,0
311,Beauty,eyebrow stamp stencil kit,3,B0B4C999J7,"Eyebrow Stamp Stencil Kit, Eyebrow Stencils, Waterproof & Long-lasting Brow Trio, Brow Pomade for Perfect Eyebrow Makeup, Light Brown",3,0.2119,0
312,Toys,board games,3,B076HK9H7Z,Sorry! Game,1,0.0441,0.1096
313,Toys,board games,3,B00000IVAK,"SEQUENCE- Original SEQUENCE Game with Folding Board, Cards and Chips by Jax ( Packaging may Vary ) White, 10.3 x 8.1 x 2.31",2,0.0293,0.061
314,Toys,board games,3,B0949HBRRJ,"MONOPOLY Game, Family Board Game for 2 to 6 Players, Board Game for Kids Ages 8 and Up, Includes Fan Vote Community Chest Cards",3,0.0223,0.0481
315,Industrial and Scientific,bolts,3,B002YGJ0MM,Prime-Line GD 52103 Carriage Bolts with Nuts (single pack)2),1,0.0463,0.0276
316,Industrial and Scientific,bolts,3,B01FWZUKWU,Glarks 510 Pieces Flat Hex Stainless Steel Screws Bolts Nuts Lock and Flat Gasket Washers Assortment Kit,2,0.0426,0.0261
317,Industrial and Scientific,bolts,3,B019PXB6Z0,"Bolts, Nuts, and Washer Assortment Kit, 108 Pieces",3,0.0313,0.0131
318,AWS-APS,zinus extra firm mattress,3,B0134FXXKQ,"ZINUS 10 Inch Support Plus Pocket Spring Hybrid Mattress / Extra Firm Feel / Heavier Coils for Durable Support / Pocket Innersprings for Motion Isolation / Mattress-in-a-Box, Queen",1,0.7297,0
319,AWS-APS,zinus extra firm mattress,3,B01NH0XWNU,"ZINUS 12 Inch Green Tea Cooling Gel Memory Foam Mattress / Cooling Gel Foam / Pressure Relieving / CertiPUR-US Certified / Bed-in-a-Box, Queen",2,0.0811,0
320,AWS-APS,zinus extra firm mattress,3,B088RBS7S2,"ZINUS 12 Inch Memory Foam Spring Hybrid Mattress/Euro Top Innerspring Mattress/Green Tea-Infused Foam/CertiPUR-US Certified/Mattress-in-a-Box, Queen",3,0.0811,0
321,Magazines and Newspapers,national geographic subscriptions,3,B07Q9XYJ6B,National Geographic Magazine,1,0.7298,0.6296
322,Magazines and Newspapers,national geographic subscriptions,3,B002PXW1R0,National Geographic Kids,2,0.0927,0.037
323,Magazines and Newspapers,national geographic subscriptions,3,B08ZW2GHD1,National Geographic Magazine,3,0.0887,0.2593
324,Kindle Store,colleen hoover,3,B0176M3U10,It Ends with Us: A Novel,1,0.2105,0.1861
325,Kindle Store,colleen hoover,3,B00HB62MC0,Ugly Love: A Novel,2,0.1268,0.093
326,Kindle Store,colleen hoover,3,B09H6T8LTR,Verity,3,0.1045,0.1115
327,Video On Demand,spongebob squarepants,3,B00CRMSSKS,Help Wanted/Reef Blowers/Tea at the Treedome,1,0.1319,0.0232
328,Video On Demand,spongebob squarepants,3,B000HX6HKC,Help Wanted/Reef Blowers/Tea at the Treedome,2,0.1048,0.0112
329,Video On Demand,spongebob squarepants,3,B00CRMV9RM,Hooky/Mermaidman and Barnacleboy II,3,0.0622,0.0054
330,Uncategorized,apple,3,B09HDYYXGX,"Apple Watch Series 7 [GPS 45mm] Smart Watch w/ Blue Aluminum Case with Abyss Blue Sport Band. Fitness Tracker, Blood Oxygen & ECG Apps, Always-On Retina Display, Water Resistant",1,0.0757,0.0051
331,Uncategorized,apple,3,B099C23M4R,Apple AirTag Leather Key Ring - California Poppy,2,0.0708,0.0357
332,Uncategorized,apple,3,B0933D3SN6,2021 Apple TV 4K (32GB),3,0.0537,0.0443
333,Collectibles,topps baseball cards 2022,3,B09SYGKKKG,2022 Topps Series 1 Baseball Trading Cards Blaster Box (99 cards per box),1,0.1526,0.2075
334,Collectibles,topps baseball cards 2022,3,B0B52N1QZF,2022 Topps Baseball Complete Set Factory Sealed Retail Edition - Baseball Complete Sets,2,0.1385,0
335,Collectibles,topps baseball cards 2022,3,B0B3558934,2022 Topps Gypsy Queen Baseball Value Box,3,0.0892,0.1321
336,Video Games,switch games,3,B01N5OKGLH,Super Smash Bros. Ultimate - Nintendo Switch,1,0.0462,0.038
337,Video Games,switch games,3,B0973KMCFG,Just Dance 2022 - Nintendo Switch,2,0.0419,0.0682
338,Video Games,switch games,3,B09H221SH4,Kirby and the Forgotten Land - Nintendo Switch,3,0.0403,0.0292
339,APS,apple watch band,3,B09KNCDSWN,"6 Pack Sport Bands Compatible with Apple Watch Band 38mm 40mm 41mm 42mm 44mm 45mm,Soft Silicone Waterproof Strap Wristbands Compatible with iWatch Apple Watch Series 7 6 5 4 3 2 1 SE Women Men",1,0.077,0.1089
340,APS,apple watch band,3,B09TNKY6HP,"6 Pack Bands Compatible with Apple Watch Band 38mm 40mm 41mm 42mm 44mm 45mm Women Men, Soft Silicone Sport Strap for iWatch Series 7 6 5 4 3 SE White/PinkSand/LightGreen/LightBlue/Lavender/Starlight",2,0.0498,0.0614
341,APS,apple watch band,3,B09V5N5SPY,"Marge Plus for Apple Watch Band Series 7 6 5 4 3 2 1 SE 38mm 40mm 41mm 42mm 44mm 45mm Women and Men, Stainless Steel Mesh Loop Magnetic Clasp Replacement for iWatch Bands (41mm/40mm/38mm, A--Starlight).",3,0.0369,0.041
342,Musical Instruments,microphone,3,B07GQT8879,"USB Microphone, MAONO 192KHZ/24Bit Plug & Play PC Computer Podcast Condenser Cardioid Metal Mic Kit with Professional Sound Chipset for Recording, Gaming, Singing, YouTube (AU-A04)",1,0.0929,0.075
343,Musical Instruments,microphone,3,B000XI6O2W,"Singing Machine SMM-205 Unidirectional Dynamic Karaoke Microphone with 10 Ft. Cord, Black, One Size",2,0.0839,0.1391
344,Musical Instruments,microphone,3,B07WLWN2ZT,"USB Microphone, TONOR Computer Cardioid Condenser PC Gaming Mic with Tripod Stand & Pop Filter for Streaming, Podcasting, Vocal Recording, Compatible with Laptop Desktop Windows Computer, TC-777",3,0.0692,0.0609
345,Merchants,sony,3,B005KOZNE4,Sony XDPMU110 Digital Link Sound System (Discontinued by Manufacturer),1,0.3279,0.2
346,Merchants,sony,3,B00I3LV3EU,Sony Foldable Headphones with Smartphone Mic and Control - Metallic Red,2,0.1243,0.2
347,Merchants,sony,3,B00I3LV3P4,Sony Foldable Headphones with Smartphone Mic and Control - Metallic Blue,3,0.1153,0.4333
348,Home Improvement,ceiling fans with lights,3,B00KGKF108,"Honeywell Ceiling Fans 50197 Carmel 48 Contemporary Ceiling Fan with Integrated Light Kit and Remote Control, Five Reversible Cimerron/Ironwood Blades, Bronze",1,0.0346,0.0507
349,Home Improvement,ceiling fans with lights,3,B07GJQ7N7V,"Honeywell Ceiling Fans 50614-01 Carnegie LED Ceiling Fan 52, Indoor, Rustic Barnwood Blades, Industrial Cage Light, Matte Black",2,0.0321,0.0358
350,Home Improvement,ceiling fans with lights,3,B07T5GVTZY,"Prominence Home 51429 Benton Hugger/Low Profile Ceiling Fan, 52” Walnut/Maple Blades, LED Globe Light, Bronze",3,0.0243,0.0338
351,Baby,diapers,3,B07DCCP3Y1,"Diapers Size 1 (8-14 lbs) Newborn, 198 Count - Pampers Swaddlers Disposable Baby Diapers, (Packaging May Vary)",1,0.1482,0.109
352,Baby,diapers,3,B07SVHLGV8,"Diapers Newborn/Size 0 (< 10 lb), 140 Count - Pampers Swaddlers Disposable Baby Diapers, Enormous Pack (Packaging May Vary)",2,0.0892,0.0496
353,Baby,diapers,3,B00TJ6WLV2,"Diapers Newborn/Size 1 (8-14 lb), 120 Count - Pampers Baby Dry Disposable Baby Diapers, Super Pack, Packaging & Prints May Vary",3,0.0447,0.0594
354,Mobile Apps Store,roblox,3,B00NUF4YOA,Roblox,1,0.7697,0.3686
355,Mobile Apps Store,roblox,3,B0B2QHY7F9,Roblock Girel,2,0.0319,0.0861
356,Mobile Apps Store,roblox,3,B07FLDPFNS,MeMe Sounds ( OOF DUN DUN ),3,0.027,0.0652
357,Office Products,pens,3,B07PLL76SR,"ZEBRA PENS, bulk pack of 24 ink pens, Z-Grip Retractable ballpoint pens Medium point 1.0 mm, 12 black pens & 12 Blue pens combo pack",1,0.0503,0.0718
358,Office Products,pens,3,B082PMSSS7,"Sharpie S-Gel, Gel Pens, Medium Point (0.7mm), Assorted Colors, 12 Count",2,0.0433,0.0445
359,Office Products,pens,3,B08JY653PJ,"Sharpie S-Gel, Gel Pens, Ultra Fine Point (0.38mm), Black, 4 Count",3,0.0419,0.0456
360,Wireless,popsockets,3,B08WVHWYND,PopSockets Clear Phone Grip,1,0.0718,0.0919
361,Wireless,popsockets,3,B07P29XQR4,PopSockets: PopGrip with Swappable Top for Phones and Tablets - Black,2,0.0431,0.0504
362,Wireless,popsockets,3,B08HRP96GQ,"​​​​PopSockets: Phone Grip with Expanding Kickstand, Pop Socket for Phone - Bee Boho",3,0.0341,0.0329
363,Software,norton 360,3,B08L6KCTVG,"Norton 360 Deluxe 2022 for up to 5 Devices + $10 Amazon.com Gift Card - Includes VPN, PC Cloud Backup & Dark Web Monitoring powered by LifeLock [Download, 12 Month with Auto-Renewal]",1,0.2385,0.2967
364,Software,norton 360,3,B07Q33SJDW,"Norton 360 Deluxe 2022 Antivirus software for 5 Devices with Auto Renewal - Includes VPN, PC Cloud Backup & Dark Web Monitoring [Download]",2,0.23,0.2448
365,Software,norton 360,3,B07Q8JGCSQ,"Norton 360 Deluxe 2022 Antivirus software for 3 Devices with Auto Renewal - Includes VPN, PC Cloud Backup & Dark Web Monitoring [Download]",3,0.1607,0.1751
366,Books,where the crawdads sing,3,735219109,Where the Crawdads Sing,1,0.7207,0.8099
367,Books,where the crawdads sing,3,B078GD3DRG,Where the Crawdads Sing,2,0.0964,0.0848
368,Books,where the crawdads sing,3,B07FSXPMHY,Where the Crawdads Sing,3,0.0538,0.0381
369,"Arts,Crafts, and Sewing",diamond painting kits,3,B088K3FQ7W,"ARTDOT Diamond Painting Storage Containers, 60 Slots Diamond Painting Accessories Shockproof Jars for Jewelry Beads Rings Charms Glitter Rhinestones",1,0.0518,0.049
370,"Arts,Crafts, and Sewing",diamond painting kits,3,B09WY3Z6C8,"12 Pack Diamond Painting Kits for Adults 5D Diamond Art Kit for Beginners, DIY Paint with Round Full Drill Diamonds Paintings Gem Art for Home Wall Decoration Gift (12X16 Inch TINY FUN)",2,0.0476,0.0353
371,"Arts,Crafts, and Sewing",diamond painting kits,3,B09PFQ83NP,AIRDEA Sunflowers Diamond Painting Kits for Adults Beginners Round Full Drill 5D DIY Butterfly Diamond Art Kits Animals Diamond Painting Kits Flowers Picture Art for Home Wall Decor 11.8x15.7inch,3,0.0415,0.0445
372,AmazonBasics,amazon dumbbells,3,B074DZ6NGS,"Amazon Basics Rubber Encased Exercise and Fitness Hex Dumbbell Hand Weight for Strength Training, 20-Pound",1,0.6842,1
373,AmazonBasics,amazon dumbbells,3,B01LR5S6HK,"Amazon Basics Neoprene Hexagon Workout Dumbbell Hand Weight, 10-Pound, Navy Blue - Set of 2",2,0.1842,0
374,AmazonBasics,amazon dumbbells,3,B071WSFSGC,"Amazon Basics Adjustable Barbell Lifting Dumbbells Weight Set with Case, 38 Pounds, Black",3,0.0526,0
375,RPS,treadmill,3,B093BXFCVM,"Home Foldable Treadmill with Incline, Folding Treadmill for Home Workout, Electric Walking Treadmill Machine Adjustable Programs 250 LB Capacity MP3…",1,0.3111,0
376,RPS,treadmill,3,B0193V3DJ6,NordicTrack T Series Treadmill + 30-Day iFIT Membership,2,0.2222,0
377,RPS,treadmill,3,B01M0L0D90,XTERRA Fitness TR150 Folding Treadmill,3,0.1778,0
378,Fresh,chips,3,B09J1PF97P,"Frito-Lay Flavor Mix Variety Pack, (18 Pack) (Assortment May Vary)",1,0.0517,0.0561
379,Fresh,chips,3,B09J1Q5PD2,"Frito-Lay Classic Mix Variety Pack, (18 Pack) (Assortment May Vary)",2,0.0442,0.0475
380,Fresh,chips,3,B08M321392,"Doritos Tortilla Chips, Nacho Cheese, 14.5 oz Party Size Bag",3,0.0333,0.035
381,Warehouse Deals,apple,3,B09JQMJHXY,"Apple AirPods Pro Wireless Earbuds with MagSafe Charging Case. Active Noise Cancelling, Transparency Mode, Spatial Audio, Customizable Fit, Sweat and Water Resistant. Bluetooth Headphones for iPhone",1,0.0758,0
382,Warehouse Deals,apple,3,B09G917SM6,"Apple iPhone 13 (128GB, (Product) RED) [Locked] + Carrier Subscription",2,0.0523,0.0526
383,Warehouse Deals,apple,3,B09V3JH3XS,"2022 Apple iPad Air (10.9-inch, Wi-Fi, 64GB) - Blue (5th Generation)",3,0.0523,0
384,Fresh,ice cream,4,B07W5Z837X,"Amazon Brand - Happy Belly Cookies 'N Cream Ice Cream, 48 Fl Oz (Frozen)",1,0.0622,0.0676
385,Fresh,ice cream,4,B07W6ZR7XF,"Amazon Brand - Happy Belly Neapolitan Ice Cream, 48 Fl Oz (Frozen)",2,0.0541,0.0609
386,Fresh,ice cream,4,B09CF3TTX5,Ben & Jerry's Ice Cream Dirt Cake Topped Non-GMO 15.2 oz,3,0.0268,0.0208
387,Warehouse Deals,resistance band,4,B08DLXZKF7,"Resistance Bands, Exercise Workout Bands for Women and Men, 5 Set of Stretch Bands for Booty (Colorful)",1,0.1271,0.0973
388,Warehouse Deals,resistance band,4,B087R2Q4HM,"Renoj Resistance Bands , Booty Bands for Women, 3 Levels Exercise Workout Bands for Legs and Butt",2,0.0796,0.0089
389,Warehouse Deals,resistance band,4,B098N91J37,"Resistance Bands, Resistance Band Set, Workout Bands, Exercise Bands for Men and Women, Exercise Bands with Door Anchor, Handles, Legs Ankle Straps for Muscle Training, Physical Therapy, Shape Body",3,0.0612,0.0619
390,Sports & Outdoors,paddle board,4,B08YFJYL84,"FITWAVE Paddle Board 9.5ft/10ft SUP + Kit - Inflatable Paddle Boards for Adults - Inflatable Stand Up Paddle Board with Pump, Emergency Repair Kit, Bag & More - Anti Air Leaking & Nonslip Deck",1,0.0733,0.0598
391,Sports & Outdoors,paddle board,4,B08YFKFH46,"FITWAVE Paddle Board 9.5ft/10ft SUP + Kit - Inflatable Paddle Boards for Adults - Inflatable Stand Up Paddle Board with Pump, Emergency Repair Kit, Bag & More - Anti Air Leaking & Nonslip Deck",2,0.0533,0.0458
392,Sports & Outdoors,paddle board,4,B08YFJYL84,"FITWAVE Paddle Board 9.5ft/10ft SUP + Kit - Inflatable Paddle Boards for Adults - Inflatable Stand Up Paddle Board with Pump, Emergency Repair Kit, Bag & More - Anti Air Leaking & Nonslip Deck",3,0.0467,0.049
393,Video On Demand,star trek,4,B01LW7JLMJ,Star Trek,1,0.1213,0.2705
394,Video On Demand,star trek,4,B09KWYS8Q5,Star Trek Into Darkness,2,0.0917,0.029
395,Video On Demand,star trek,4,B09VPC4TV8,Strange New Worlds,3,0.0688,0.016
396,Automotive,tools,4,B087245QX2,"SEDY 122-Piece Magnetic Screwdriver Set with Plastic Racking, Best Screwdriver Set Drive Magnetic Bit Holding Screwdriver Handle & Hex Key, for Home Repair, Improvement",1,0.055,0.0521
397,Automotive,tools,4,B00U0P0GHM,"DEWALT Mechanics Tools Kit and Socket Set, 1/4 & 3/8 Drive, SAE, 108-Piece (DWMT73801)",2,0.0346,0.012
398,Automotive,tools,4,B00PXN00BS,"DEWALT Mechanics Tools Kit and Socket Set, 168-Piece (DWMT73803)",3,0.0342,0.022
399,Computers,computer graphics cards,4,B08W8DGK3X,"ZOTAC Gaming GeForce RTX 3060 Twin Edge OC 12GB GDDR6 192-bit 15 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Cooling, Active Fan Control, Freeze Fan Stop ZT-A30600H-10M",1,0.1572,0.1176
400,Computers,computer graphics cards,4,B09HHLX543,"XFX Speedster SWFT 210 Radeon RX 6600 CORE Gaming Graphics Card with 8GB GDDR6 HDMI 3xDP, AMD RDNA 2 RX-66XL8LFDQ",2,0.0537,0.0441
401,Computers,computer graphics cards,4,B08Y934HZQ,"PowerColor Red Devil AMD Radeon RX 6700 XT Gaming Graphics Card with 12GB GDDR6 Memory, Powered by AMD RDNA 2, Raytracing, PCI Express 4.0, HDMI 2.1, AMD Infinity Cache",3,0.0471,0.0368
402,Softlines,women's sandals,4,B0919BWYBT,Clarks Women's Breeze Sea,1,0.0321,0.0375
403,Softlines,women's sandals,4,B0B3JTHGGV,Birkenstock Unisex Gizeh Essentials EVA Sandals,2,0.0244,0.0124
404,Softlines,women's sandals,4,B08PDC5KTP,Steve Madden Women's Harlin Heeled Sandal,3,0.0213,0.0168
405,Grocery,milk,4,B074H4SHLR,"365 by Whole Foods Market, Milk Whole Organic Homogenized, 64 Fl Oz (Packaging May Vary)",1,0.054,0.0535
406,Grocery,milk,4,B07YQGY4BD,"Amazon Brand - Happy Belly Vitamin D Whole Milk, 128 Fl. Oz, Pasteurized",2,0.0253,0.0265
407,Grocery,milk,4,B000O6K8TI,"Organic Valley Whole Milk, 64 fl oz",3,0.0249,0.0251
408,Amazon.com,crocs,4,B09JNKQZ56,Crocs Unisex-Adult Classic Clogs (Best Sellers),1,0.1626,0.2648
409,Amazon.com,crocs,4,B09V6M1NJR,Crocs Unisex-Adult Men's and Women's Classic Clog (Neutral Colors),2,0.0745,0.1144
410,Amazon.com,crocs,4,B0B6B3B5MM,Crocs Unisex-Adult Classic Tie Dye Clog,3,0.0422,0.0207
411,Credit Cards,apple watch series 7,4,B09HF6H3X3,"Apple Watch Series 7 [GPS 41mm] Smart Watch w/ Starlight Aluminum Case with Starlight Sport Band. Fitness Tracker, Blood Oxygen & ECG Apps, Always-On Retina Display, Water Resistant",1,0.2895,0.6667
412,Credit Cards,apple watch series 7,4,B09HF6XBPF,"Apple Watch Series 7 [GPS 45mm] Smart Watch w/ Midnight Aluminum Case with Midnight Sport Band. Fitness Tracker, Blood Oxygen & ECG Apps, Always-On Retina Display, Water Resistant",2,0.2664,0.3333
413,Credit Cards,apple watch series 7,4,B09PB1PTH8,"Apple Watch Series 7 (GPS + Cellular, 41mm) Midnight Aluminum Case with Midnight Sport Band, Regular (Renewed)",3,0.1513,0
414,Handmade,handmade rings,4,B06X3ZTP6G,Solid 14k Gold Thin Stacking Ring,1,0.101,0.0444
415,Handmade,handmade rings,4,B09QLB4VYN,Anxiety Relief Ring – 925 Sterling Silver Spinner Ring – Fidget Rings for Anxiety for Women and Men – Modern and Elegant Design – Adjustable Size Ring Jewelry (Anxiety Ring),2,0.0879,0.0889
416,Handmade,handmade rings,4,B076CVLQDZ,Personalized Wrap Ring Custom Initials Ring Engraved Ring Double Ring Stackable Rings - RWR,3,0.0717,0.0667
417,Home and Garden,mattress,4,B06WWF1Q8Z,"Zinus 8 Inch Foam and Spring Mattress / CertiPUR-US Certified Foams / Mattress-in-a-Box, Full",1,0.0533,0.0666
418,Home and Garden,mattress,4,B073VLQ5JR,Olee Sleep 10 inch Aquarius Memory Foam Mattress - Full,2,0.0302,0.035
419,Home and Garden,mattress,4,B00Q7EUZLC,"Zinus 8 Inch Green Tea Memory Foam Mattress / CertiPUR-US Certified / Bed-in-a-Box / Pressure Relieving, Full",3,0.0284,0.0199
420,HPC,massage gun,4,B083L8RNJR,"TOLOCO Massage Gun, Upgrade Percussion Muscle Massage Gun for Athletes, Handheld Deep Tissue Massager, Black",1,0.1139,0.0934
421,HPC,massage gun,4,B08MLB2B4H,"AERLANG Massage Gun, Deep Tissue Massager, Portable Muscle Massage Gun for Back Neck Muscle Relieve, Quiet Brushless Motor 20 Variable Speeds Digital Display 6 Massage Heads and Carrying Case",2,0.1056,0.1233
422,HPC,massage gun,4,B09QGNZZ47,"Massage Gun Deep Tissue, Muscle Percussion Massager with 30 Speeds, Quiet Handheld Massagers with LCD Touch Screen 10 Heads for Athletes Shoulder Body Back Neck Relaxation (Black) (Black)",3,0.0522,0.0643
423,MP3 Downloads,eminem,4,B000S2JA4W,Eminem,1,0.6685,0
424,MP3 Downloads,eminem,4,B000VWKKTS,The Real Slim Shady [Explicit],2,0.0618,0
425,MP3 Downloads,eminem,4,B0B4F87395,REDISCOVER Eminem,3,0.055,0
426,Movies & TV,4k movies,4,B09Y896LW1,Top Gun: Maverick,1,0.1141,0.1414
427,Movies & TV,4k movies,4,B09ZVKT8KJ,Top Gun: Maverick 2-Movie 4K Ultra HD Collection,2,0.0371,0.0303
428,Movies & TV,4k movies,4,B073WYP73T,E.T. The Extra-Terrestrial [Blu-ray],3,0.0285,0.0202
429,Gift Cards,egift card,4,B004LLIKVU,Amazon eGift Card - Amazon For All Occasions,1,0.4419,0.3731
430,Gift Cards,egift card,4,B07TMNGSN4,Amazon eGift Card - Birthday Cupcakes,2,0.2335,0.2689
431,Gift Cards,egift card,4,B07MB4HN9X,Amazon eGift Card - Conga Dogs (Animated),3,0.0557,0.0699
432,Kindle Store,free books,4,B08X13LST7,Tattered Stars (The Tattered & Torn Series Book 1),1,0.0582,0.0695
433,Kindle Store,free books,4,B07ML46CWK,Secrets of Willow House: A heartwarming and uplifting page turner set in Ireland (Sandy Cove Book 1),2,0.0484,0.0487
434,Kindle Store,free books,4,B0B57RTHFV,Beach Reads Box Set : Volume 2,3,0.0415,0.0495
435,Music,music cds,4,B00006LSNA,Pure 60's: The #1 Hits,1,0.1083,0.16
436,Music,music cds,4,B09V835NFZ,NOW 82,2,0.0798,0.12
437,Music,music cds,4,B000ENWKMY,Pure '80s #1s,3,0.0513,0.02
438,Toys,melissa and doug,4,B07PBXRJ7G,Melissa & Doug Let's Play House Dust! Sweep! Mop! 6 Piece Pretend Play Set,1,0.0994,0.1083
439,Toys,melissa and doug,4,B0815Q8HSW,Melissa & Doug Wooden Slice & Stack Sandwich Counter with Deli Slicer – 56-Piece Pretend Play Food Pieces,2,0.05,0.0462
440,Toys,melissa and doug,4,B07YR9T251,Melissa & Doug Wooden Take-Along Sorting Barn Toy with Flip-Up Roof and Handle 10 Wooden Farm Play Pieces,3,0.0447,0.0443
441,Electronics,bluetooth speakers,4,B07HKQ6YGX,JBL Charge 4 - Waterproof Portable Bluetooth Speaker - Black,1,0.053,0.0394
442,Electronics,bluetooth speakers,4,B07XVFB67J,"Bluetooth Speaker,MusiBaby Speakers,Outdoor, Portable,Waterproof,Wireless Speaker,Dual Pairing, Bluetooth 5.0,Loud Stereo,Booming Bass,1500 Mins Playtime for Home,Party (Black, M68)",2,0.0385,0.0592
443,Electronics,bluetooth speakers,4,B07QJ6Z8PF,"JBL FLIP 5, Waterproof Portable Bluetooth Speaker, Gray",3,0.0359,0.0306
444,Beauty,crystal hair eraser,4,B0B157T8SX,"Crystal Hair Eraser, Crystal Hair Remover for Women and Men, Painless Exfoliation Hair Removal Tool for Arms Legs Back - Fast & Easy",1,0.4768,0.01
445,Beauty,crystal hair eraser,4,B0B5Q7K1N4,"Crystal Hair Eraser for Women and Men, Mini Magic Crystal Hair Remover, Painless Fast Exfoliating Smooth Skin Reusable for Leg Arm (Blue)",2,0.1588,0
446,Beauty,crystal hair eraser,4,B0B5XHJB8B,"Crystal Hair Eraser, Crystal Hair Remover for Women and Men, Painless Exfoliation Crystal Hair Eraser for Remove Arms Legs Back Hairs(Silver)",3,0.0692,0
447,Magazines and Newspapers,magazines print subscriptions,4,B002PXW1IE,Real Simple,1,0.197,0.1176
448,Magazines and Newspapers,magazines print subscriptions,4,B002PXVYQY,Southern Living,2,0.1212,0.1176
449,Magazines and Newspapers,magazines print subscriptions,4,B001TP73TG,Prevention,3,0.1061,0.2353
450,Industrial and Scientific,hardware nuts,4,B097N3SGCD,TWCC 95 PCS Assorted Stainless Steel Hex Nuts Assortment Kit M3 M4 M5 M6 M8 M10 Metric Hex Nut Set Hardware,1,0.0324,0.0374
451,Industrial and Scientific,hardware nuts,4,B09HBN6S9V,"VIGRUE 320PCS SAE and Metric Hex Lock Nuts Nylon Insert Nut Assortment Kit, 304 Stainless Steel Locknuts (M3 M4 M5 M6 M8 M10 M12 and 1/4-20 5/16-18 3/8-16 8-32 10-24)",2,0.0319,0.0314
452,Industrial and Scientific,hardware nuts,4,B089PR8DVP,"Persberg M8 Hex Nut M8-1.25 (20 Pack), 65mm Height, 304 18-8 Stainless Steel, Hex Nuts 120153",3,0.0246,0.0277
453,Alexa Skills,youtube,4,B086L4JLPJ,Music Player | Unofficial YouTube Playlist Player,1,0.4867,0
454,Alexa Skills,youtube,4,B08VNCVDBL,Youtube Recommendations(unofficial),2,0.2376,0
455,Alexa Skills,youtube,4,B08MVTTMJ3,Whale Video,3,0.066,0
456,Camera and Photo,binoculars,4,B07VLXKZ33,"Adasion 12x42 High Definition Binoculars for Adults with Phone Adapter and Foldable Tripod, Super Bright High Power Binoculars with Large View, Lightweight Binoculars for Bird Watching Hunting Sports",1,0.0945,0.0949
457,Camera and Photo,binoculars,4,B0756BXDTX,"occer 12x25 Compact Binoculars with Clear Low Light Vision, Large Eyepiece Waterproof Binocular for Adults Kids,High Power Easy Focus Binoculars for Bird Watching,Outdoor Hunting,Travel,Sightseeing",2,0.0616,0.0925
458,Camera and Photo,binoculars,4,B09SD4YTPD,"100x22 Zoom HD Compact Binoculars for Adults Kids with Universal Phone Adapter, Large View High Powered Waterproof Small Binocular for Bird Watching, Hunting, Travel, Sports",3,0.0522,0.0511
459,Baby,high chair,4,B07D79BP7N,"Graco Slim Snacker High Chair, Ultra Compact High Chair, Gala",1,0.1044,0.1377
460,Baby,high chair,4,B08DY55SQZ,Evenflo 4-in-1 Eat & Grow Convertible High Chair,2,0.0892,0.074
461,Baby,high chair,4,B00PTL13LA,"Graco Slim Snacker High Chair, Ultra Compact High Chair, Whisk",3,0.0782,0.1068
462,APS,crocs,4,B09JNKQZ56,Crocs Unisex-Adult Classic Clogs (Best Sellers),1,0.1836,0.2758
463,APS,crocs,4,B09V6M1NJR,Crocs Unisex-Adult Men's and Women's Classic Clog (Neutral Colors),2,0.0785,0.1176
464,APS,crocs,4,B0B6B3B5MM,Crocs Unisex-Adult Classic Tie Dye Clog,3,0.0392,0.019
465,Collectibles,football cards,4,B093MVD4Y9,"NFL Football Trading Cards Mega Pack | 100 NFL Sports Cards | 2 Official NFL Autographed, Jersey or Relic Cards in Every Pack | Perfect Starter Set | Sports Collectible Trading Card Packs & Boxes",1,0.22,0.2432
466,Collectibles,football cards,4,B00CFXUAIW,100 Vintage Football Cards in Old Sealed Wax Packs - Perfect for New Collectors,2,0.14,0.1622
467,Collectibles,football cards,4,B09Y1647RF,2020-21 Panini NFL Contenders Football Trading Card Blaster Box,3,0.0543,0.027
468,Uncategorized,tv,4,B08SWD2SCK,Amazon Fire TV 43 4-Series 4K UHD smart TV,1,0.2192,0.067
